20180829-50292-12837-s-12422,32,131
20180829-50292-12840-s-5243,20,96
20180829-50292-12840-s-5244,18,83
20180829-50292-12840-s-5807,20,79
20180829-50292-12843-s-7069,20,79
20180829-50292-12843-s-7070,16,64
20180829-50292-12843-s-7702,18,85
20180829-50292-12846-s-6547,20,79
20180829-50292-12846-s-6549,36,151
20180829-50292-12846-s-6551,27,150
20180829-50292-12846-s-7671,20,79
20180829-50292-12849-s-12179,18,82
20180829-50292-12849-s-13768,25,94
20180829-50292-12864-s-33987,34,121
20180829-50295-12825-s-20003,22,68
20180829-50295-12825-s-23140,19,103
20180829-50295-12828-s-15498,32,107
20180829-50295-12828-s-15500,32,102
20180829-50295-12828-s-17118,23,90
20180829-50295-12828-s-18270,25,87
20180829-50295-12828-s-18271,28,115
20180829-50295-12831-s-13361,18,82
20180829-50295-12831-s-13362,20,64
20180829-50295-12831-s-14715,18,85
20180829-50295-12831-s-14716,20,79
20180829-50295-12831-s-14720,23,88
20180829-50295-12834-s-14781,22,101
20180829-50295-12834-s-16005,18,81
20180829-50295-12837-s-11410,16,90
20180829-50295-12837-s-11412,20,79
20180829-50295-12837-s-11510,14,65
20180829-50295-12837-s-12519,13,52
20180829-50295-12837-s-12520,20,79
20180829-50295-12840-s-20139,15,69
20180829-50295-12840-s-21201,22,69
20180829-50295-12846-s-14077,25,85
20180829-50295-12849-s-37339,32,112
20180829-50295-12849-s-37341,20,96
20180829-50298-12840-s-12375,23,88
20180829-50298-12840-s-12376,17,72
20180829-50298-12840-s-12377,22,90
20180829-50298-12840-s-12378,25,115
20180829-50298-12840-s-12379,20,79
20180829-50298-12840-s-12380,25,94
20180829-50298-12840-s-12381,23,78
20180829-50298-12840-s-13093,17,88
20180829-50298-12843-s-23485,20,79
20180829-50298-12846-s-37850,29,92
20180829-50298-12849-s-29319,41,138
20180829-50298-12861-s-38574,52,183
20180829-50298-12864-s-45033,22,73
20180829-50301-12819-s-23175,39,127
20180829-50301-12819-s-23176,39,127
20180829-50301-12822-s-12492,25,88
20180829-50301-12822-s-12601,44,146
20180829-50301-12822-s-13961,17,79
20180829-50301-12825-s-21119,28,100
20180829-50301-12837-s-17087,13,66
20180829-50301-12837-s-17089,54,248
20180829-50301-12837-s-17730,29,94
20180829-50301-12837-s-17731,25,113
20180829-50301-12837-s-17750,54,232
20180829-50301-12840-s-22719,46,164
20180829-50301-12840-s-23462,23,88
20180829-50304-12816-s-23301,20,68
20180829-50304-12819-s-17722,36,115
20180829-50304-12822-s-15820,43,137
20180829-50304-12825-s-11758,32,148
20180829-50304-12825-s-11849,28,147
20180829-50304-12825-s-11850,32,152
20180829-50304-12825-s-11851,30,148
20180829-50304-12825-s-13062,29,148
20180829-50304-12834-s-20698,36,129
20180829-50304-12834-s-20700,38,130
20180829-50304-12837-s-12181,20,79
20180829-50304-12837-s-12182,45,201
20180829-50304-12843-s-17093,24,105
20180829-50304-12846-s-13816,20,79
20180829-50307-12810-s-3424,20,79
20180829-50307-12810-s-3428,20,79
20180829-50307-12825-s-10471,29,145
20180829-50307-12825-s-10513,40,130
20180829-50307-12825-s-10515,43,136
20180829-50307-12828-s-8373,48,154
20180829-50307-12828-s-8374,48,154
20180829-50307-12828-s-8427,20,60
20180829-50307-12828-s-8563,47,167
20180829-50307-12831-s-14193,43,177
20180829-50307-12831-s-14582,34,14280
20180829-50307-12831-s-15073,43,180
20180829-50307-12834-s-17191,35,151
20180829-50307-12834-s-17897,25,93
20180829-50307-12834-s-18527,26,112
20180829-50307-12837-s-15732,52,247
20180829-50307-12837-s-15736,42,175
20180829-50307-12837-s-16245,47,199
20180829-50307-12840-s-17152,11,174
20180829-50307-12840-s-17362,15,147
20180829-50307-12840-s-17376,9,156
20180829-50307-12840-s-17773,20,79
20180829-50307-12840-s-17864,52,247
20180829-50307-12840-s-17866,20,79
20180829-50307-12840-s-18236,20,79
20180829-50307-12843-s-10667,20,79
20180829-50307-12843-s-10669,20,79
20180829-50307-12849-s-16074,20,79
20180829-50307-12852-s-26687,38,130
